modelo,preço,link
"  CG 160 Start
",R$ 12.650,/motos/street/city/cg-160-start
"  CG 160 Fan
",R$ 13.880,/motos/street/city/cg-160-fan
"  CG 160 Titan
",R$ 15.060,/motos/street/city/cg-160-titan
"  CG 160 Cargo
",R$ 14.060,/motos/street/city/cg-160-cargo
"  Pop 110i
",R$ 8.580,/motos/street/city/pop-110i
"  Biz 110i
",R$ 10.480,/motos/street/city/biz-110i
"  Biz 125
",R$ 13.110,/motos/street/city/biz-125
"  Elite 125
",R$ 11.740,/motos/street/scooter/elite-125
"  PCX
",R$ 15.460,/motos/street/scooter/pcx
"  Forza 350
",R$ 47.000,/motos/street/scooter/forza-350
"  Honda ADV
",R$ 21.790,/motos/adventure/scooter/honda-adv
"  X-ADV
",R$ 90.700,/motos/adventure/scooter/x-adv
"  CB 250F Twister
",R$ 18.420,/motos/street/naked/cb-250f-twister
"  CB 500F
",R$ 39.100,/motos/street/naked/cb-500f
"  CB 650R
",R$ 51.100,/motos/street/naked/cb-650r
"  CB 1000R
",R$ 76.570,/motos/street/naked/cb-1000r
"  CB 1000R Black Edition 
",R$ 85.170,/motos/street/naked/cb-1000r-black-edition
"  NXR 160 Bros ESDD 
",R$ 17.100,/motos/adventure/trail/nxr-160-bros-esdd
"  XRE 190
",R$ 18.640,/motos/adventure/trail/xre-190
"  XRE 300
",R$ 23.810,/motos/adventure/trail/xre-300
"  CB 500X
",R$ 41.600,/motos/adventure/crossover/cb-500x
"  NC 750X
",R$ 52.680,/motos/adventure/crossover/nc-750x
"  CRF 1100L Africa Twin
",R$ 75.510,/motos/adventure/big-trail/crf-1100l-africa-twin
"  CRF 1100L Africa Twin Adventure Sports ES
",R$ 95.440,/motos/adventure/big-trail/crf-1100l-africa-twin-adventure-sports-es
"  Honda ADV
",R$ 21.790,/motos/adventure/scooter/honda-adv
"  X-ADV
",R$ 90.700,/motos/adventure/scooter/x-adv
"  CRF 250F
",R$ 19.640,/motos/off-road/crf-250f
"  Linha CRF 250
",R$ 72.790,/motos/crf-250r
"  Linha CRF 450
",R$ 76.590,/motos/crf-450r
"  TRX 420 FourTrax
",R$ 44.650,/motos/off-road/trx-420-fourtrax
"  CBR 650R
",R$ 53.790,/motos/sport/cbr-650r
"  CBR 1000RR-R FIREBLADE SP
",R$ 160.590,/motos/sport/cbr-1000rr-r-fireblade
"  GL 1800 Gold Wing Tour 
",R$ 298.000,/motos/touring/gl-1800-gold-wing-tour
